carPlate,colour,propellant,seats,expiryDate
SRH9547K,black,hybrid,5,16 Jul 2024
SWQ9077M,silver,petrol,2,24 Apr 2026
SWQ4711V,blue,electric,5,17 Nov 2024
SXU8641H,silver,petrol,5,15 Feb 2028
SPU7834A,red,hybrid,2,11 Sep 2024
SSU4242V,blue,electric,4,18 Jul 2026
STZ5256R,grey,diesel,2,26 Jan 2025
STR9529C,silver,diesel,4,19 May 2026
SWW8105D,grey,diesel,5,21 Jul 2026
SXV8038C,silver,petrol,5,25 Jun 2024
SZU4649C,silver,electric,4,1 Jan 2026
SQY9709T,red,petrol,5,21 Mar 2024
SUZ2018B,grey,electric,4,17 Aug 2029
SVP5248Y,red,hybrid,2,11 Dec 2028
SZY802T,black,electric,4,28 Nov 2024
STW2027R,grey,diesel,7,21 Jul 2025
SRY9691U,silver,electric,7,25 Apr 2028
SVP3729Q,black,petrol,2,18 Mar 2029
STQ1280K,silver,petrol,7,25 Mar 2025
SWW777Y,red,hybrid,2,18 Dec 2027
SPX8083V,blue,electric,7,31 May 2029
SRQ9036Y,grey,hybrid,2,18 Jan 2029
SVX3508V,red,electric,5,2 Jul 2024
SXY7749X,red,petrol,2,20 Jul 2029
SYR6991C,blue,petrol,7,2 Apr 2029
SSR4949V,blue,petrol,7,26 Nov 2028
SQY9367G,red,hybrid,4,31 Mar 2028
SVS9547M,red,hybrid,4,27 Aug 2026
SXQ7175M,grey,electric,5,23 Mar 2027
SRZ8028L,silver,petrol,5,7 Oct 2027
SUU6330N,silver,hybrid,4,15 Mar 2028
SQT8503M,silver,electric,2,29 Jul 2027
SZR446K,red,diesel,5,6 Jan 2026
SWQ7864S,black,diesel,7,16 Sep 2024
SQT3863Y,grey,diesel,2,19 Oct 2024
